process,short_name,label_name,long_name,long_label_name,safe_boundary,holocene,high_risk_boundary,current,angle,cutoff,fig_bar_position,fig_bar_width,flip,d_holo_bound,s1,s2,s3
Climate change,co2,CO[2],CO2 concentration,CO[2],350,280,450,417,186.5,288,350,0.5,1,70,5.96,6.96,0.84
Biospheric integrity,genetic,Genetic,Genetic,Genetic,10,1,100,110,205.5,700,330,0.5,1,9,11.11,12.11,1.08
Biospheric integrity,functional,Functional,Functional,Functional,10,1.9,20,30,230,395,310,0.5,1,8.1,3.7,4.7,0.67
Land system change,luc,"paste(""Land system change"")",Land system change,"paste(""Land system change"")",75,100,54,60,265,252,280,1,-1,-25,2.4,3.4,0.53
Freshwater change,green,Green,Green freshwater change,"paste(""Green freshwater"")",0.111,0,0.5,0.158,292,225,250,0.5,1,0.111,1.42,2.42,0.38
Freshwater change,blue,Blue,Blue freshwater change,"paste(""Blue freshwater"")",0.102,0,0.5,0.182,310,268,230,0.5,1,0.102,1.78,2.78,0.44
Biogeochemical flows,p,P,Phosphorous cycle,"paste(""P cycle"")",11,0,22.6,31.0483870967742,334,360,210,0.5,1,11,2.82,3.82,0.58
Biogeochemical flows,n,N,Nitrogen cycle,"paste(""N cycle"")",62,0,82,190,354,374,190,0.5,1,62,3.06,4.06,0.61
Ocean acidification,carbonate,Carbonate,Carbonate concentration,Carbonate,2.752,3.44,2.75,2.8,20,700,160,1,-1,-0.688,4.07,5.07,0.7
Aerosol loading,aerosol,Aerosols,Aerosol loading,Aerosols,0.1,0.03,0.25,0.076,60,700,120,1,1,0.07,1.09,2.09,0.32
Ozone depletion,ozone,O[3],Ozone depletion,O[3],276,290,261,284.6,100,700,80,1,-1,-14,20.33,21.33,1.33
Novel entities,novel,Novel,Novel entities,"paste(""Novel entities"")",1,0,2,4,128,480,40,1,1,1,4,5,0.7
Climate change,radiation,Radiation,Radiative forcing,"paste(""Radiative forcing"")",1,0,1.5,2.91,164.5,365,10,0.5,1,1,2.91,3.91,0.59
